GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015091401,2015-09-14,1,0,0,,MIN,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091401,2015-09-14,2,15,0,SF,MIN,3,14,25,,0,,0,"(15:00) (SHOTGUN) 7-C.KAEPERNICK PASS INCOMPLETE SHORT MIDDLE TO 11-Q.PATTON.",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,25,OWN,0,,0,,0
2015091401,2015-09-14,2,14,56,SF,MIN,4,14,25,,0,,0,"(14:56) 5-B.PINION PUNTS 52 YARDS TO MIN 23, CENTER-86-K.NELSON. 35-M.SHERELS PUSHED OB AT MIN 32 FOR 9 YARDS (49-B.MILLER).",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,25,OWN,0,,0,,0
2015091401,2015-09-14,2,2,0,,MIN,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091401,2015-09-14,2,0,0,,MIN,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091401,2015-09-14,3,8,42,SF,MIN,1,10,31,,0,,0,"(8:42) (SHOTGUN) 38-J.HAYNE LEFT GUARD TO SF 40 FOR 9 YARDS (22-H.SMITH).",0,,,2015,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",31,OWN,0,,0,,0
2015091401,2015-09-14,3,0,26,MIN,SF,1,10,77,,0,,0,"(:26) 5-T.BRIDGEWATER PASS SHORT LEFT TO 11-M.WALLACE TO SF 19 FOR 4 YARDS (20-K.ACKER). CAUGHT AT SF 19. 0-YDS YAC",0,,,2015,4,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,23,OPP,0,,0,,0
2015091700,2015-09-17,1,0,0,,DEN,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091700,2015-09-17,2,11,56,KC,DEN,2,6,26,,0,,0,"(11:56) 19-J.MACLIN LEFT END TO KC 24 FOR -2 YARDS (48-S.BARRETT).",0,,,2015,-2,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT END",26,OWN,0,,0,,0
2015091700,2015-09-17,2,4,30,DEN,KC,1,10,52,,1,,0,"(4:30) (NO HUDDLE, SHOTGUN) 18-P.MANNING PASS SHORT LEFT TO 10-E.SANDERS TO KC 35 FOR 13 YARDS (30-J.FLEMING).",0,,,2015,13,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
2015091700,2015-09-17,4,12,22,KC,DEN,2,10,30,,0,,0,"(12:22) (SHOTGUN) 11-A.SMITH PASS INCOMPLETE SHORT LEFT TO 34-K.DAVIS.",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,30,OWN,0,,0,,0
2015091700,2015-09-17,4,4,58,DEN,KC,3,5,35,,0,,0,"(4:58) (SHOTGUN) 18-P.MANNING PASS INCOMPLETE SHORT RIGHT TO 88-D.THOMAS.",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015091700,2015-09-17,4,4,51,DEN,KC,4,5,35,,0,,0,"(4:51) 4-B.COLQUITT PUNTS 37 YARDS TO KC 28, CENTER-46-A.BREWER, OUT OF BOUNDS. PENALTY ON DEN-30-D.BRUTON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT KC 28.",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,35,OWN,1,DEN,0,"OFFENSIVE HOLDING",10
2015092000,2015-09-20,1,13,52,HOU,CAR,4,16,22,,0,,0,"(13:52) 9-S.LECHLER PUNTS 48 YARDS TO CAR 30, CENTER-46-J.WEEKS, FAIR CATCH BY 19-T.GINN. PENALTY ON CAR-21-T.WILLIAMS, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT CAR 30.",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,22,OWN,1,CAR,0,"UNNECESSARY ROUGHNESS",15
2015092000,2015-09-20,1,0,43,CAR,HOU,2,10,62,,0,,0,"(:43) (SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 35-M.TOLBERT TO HOU 41 FOR -3 YARDS (55-B.MCKINNEY).",0,,,2015,-3,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,38,OPP,0,,0,,0
2015092000,2015-09-20,1,0,0,,HOU,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092000,2015-09-20,2,15,0,CAR,HOU,3,13,59,,0,,0,"(15:00) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE DEEP MIDDLE TO 19-T.GINN.",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"DEEP MIDDLE",0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
2015092000,2015-09-20,2,10,5,CAR,HOU,1,10,39,,0,,0,"(10:05) (SHOTGUN) 28-J.STEWART UP THE MIDDLE TO CAR 41 FOR 2 YARDS (99-J.WATT; 56-B.CUSHING).",0,,,2015,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,39,OWN,0,,0,,0
2015092000,2015-09-20,2,0,35,CAR,HOU,1,10,9,,1,,0,"(:35) 35-M.TOLBERT RIGHT GUARD TO CAR 20 FOR 11 YARDS (26-R.MOORE).",0,,,2015,11,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",9,OWN,0,,0,,0
2015092000,2015-09-20,2,0,19,CAR,HOU,1,10,20,,0,,0,"(:19) 35-M.TOLBERT UP THE MIDDLE TO CAR 23 FOR 3 YARDS (56-B.CUSHING).",0,,,2015,3,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,20,OWN,0,,0,,0
2015092000,2015-09-20,3,7,56,CAR,HOU,2,8,22,,1,,0,"(7:56) 1-C.NEWTON SCRAMBLES RIGHT END TO CAR 31 FOR 9 YARDS (24-J.JOSEPH).",0,,,2015,9,"UNDER CENTER",SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,0,,22,OWN,0,,0,,0
2015092000,2015-09-20,3,7,19,CAR,HOU,1,10,31,,0,,0,"(7:19) (NO HUDDLE, SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT LEFT TO 88-G.OLSEN.",0,,,2015,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,31,OWN,0,,0,,0
